ds,yhat,yhat_lower,yhat_upper,Borough
1995-01-01,75263.65699459787,8139.192696140972,139726.11230846474,City of London
1995-02-01,70462.99046098672,4483.648136137943,133147.98148902965,City of London
1995-03-01,75123.5651642233,10082.95225549597,138858.91430881247,City of London
1995-04-01,66445.24904394777,226.10267128827,131599.31445833182,City of London
1995-05-01,71287.789554691,11832.042520626685,135368.35194368273,City of London
1995-06-01,85194.66875944959,22345.21582146375,147007.183753137,City of London
1995-07-01,91464.04581992984,24777.115278328547,152399.98584018456,City of London
1995-08-01,94131.45359155249,30220.424102879733,154941.61112709512,City of London
1995-09-01,92131.54563682774,26839.63337647497,156778.21075632697,City of London
1995-10-01,91095.0136903795,24857.084186797274,151293.4416688975,City of London
1995-11-01,84824.76200845682,21541.706039931087,153213.85020874345,City of London
1995-12-01,86610.3616833266,20577.747229603567,158112.34835602585,City of London
1996-01-01,98812.04387952558,33853.35313176657,162178.7708075081,City of London
1996-02-01,99325.94190366047,33358.49063492858,162470.5875089333,City of London
1996-03-01,84893.36273882548,19578.35371085964,145198.13517172605,City of London
1996-04-01,97489.74273387519,35179.24483576255,162191.66364125995,City of London
1996-05-01,108997.81840896512,42743.899866533975,169626.26636814425,City of London
1996-06-01,111869.25648702618,47626.938443744184,175247.54887251343,City of London
1996-07-01,117006.11347013147,57775.08574838455,182732.9819328965,City of London
1996-08-01,119131.07175851098,57587.05128499784,188660.6721229319,City of London
1996-09-01,106244.17955423174,40081.91583033608,170949.88993436514,City of London
1996-10-01,103277.57869931038,36893.63359054227,168719.48470437984,City of London
1996-11-01,118375.19396958321,56414.297286872046,180306.21327584214,City of London
1996-12-01,130669.17250148027,65718.7570665736,198245.10275287915,City of London
1997-01-01,127777.72371260101,63253.74464992146,192451.98231863076,City of London
1997-02-01,112175.44090651831,43284.22735308487,177825.10812448378,City of London
1997-03-01,114762.62949463239,48952.87077080495,183170.6293213105,City of London
1997-04-01,120320.17834498869,53093.552872587316,183077.41380636586,City of London
1997-05-01,129450.12298187459,65747.36118443272,190794.21593526565,City of London
1997-06-01,135925.5753229309,72347.02380029809,203246.58904160318,City of London
1997-07-01,141446.18870271265,72134.57698023152,202972.6148055708,City of London
1997-08-01,143726.73976801438,78500.2258577656,210168.85953202014,City of London
1997-09-01,134505.46811950768,70232.45225268816,203654.46482038693,City of London
1997-10-01,132363.35036399183,72310.81931354153,199021.248088536,City of London
1997-11-01,140382.39614986576,74792.02722629174,203180.6877517999,City of London
1997-12-01,148961.98560546583,87699.53799446239,213470.74736878625,City of London
1998-01-01,150946.8174629947,88968.02094653048,217841.57986915973,City of London
1998-02-01,140771.41392611334,77169.81496431965,206844.9756696931,City of London
1998-03-01,144521.8037006857,77874.4155506366,210197.768158067,City of London
1998-04-01,142984.92412553326,71539.75053601997,203481.80016772656,City of London
1998-05-01,149891.6492880957,88329.05978717144,216152.21423844947,City of London
1998-06-01,160046.79391537886,98165.66140738122,223906.82360816762,City of London
1998-07-01,165945.583925986,105660.6263635585,231035.43826802642,City of London
1998-08-01,168407.48116514465,100704.85894608773,233373.50584867812,City of London
1998-09-01,162816.68280263105,95705.01623091736,226485.606141575,City of London
1998-10-01,161317.72290672726,96132.91614590002,228005.3799933195,City of London
1998-11-01,162211.12215912936,99248.37760023748,224564.68219099884,City of London
1998-12-01,167286.26891339407,99483.40972247919,229101.22665573115,City of London
1999-01-01,174304.3239831865,112439.57228395478,238954.28296512648,City of London
1999-02-01,169503.65746987698,105020.03088683228,238701.098759983,City of London
1999-03-01,174164.23219146114,103407.7423414753,234543.0239267323,City of London
1999-04-01,165485.91609150963,100473.6113124723,230829.63224867693,City of London
1999-05-01,170328.4566219354,109890.3165747739,235954.85383896795,City of London
1999-06-01,184235.33584700242,120405.46820625209,251972.85998569216,City of London
1999-07-01,190504.7129271436,125365.98297807934,258185.11792577847,City of London
1999-08-01,193172.12071908163,129431.37081537364,260949.47321420544,City of London
1999-09-01,191172.21278468243,125063.74378812169,249797.28787261454,City of London
1999-10-01,190135.68088860172,125475.69841895037,253917.60932678604,City of London
1999-11-01,183865.42925868253,114243.24610792399,244858.4866682107,City of London
1999-12-01,185651.02898390233,120503.76880090711,252556.16382493236,City of London
2000-01-01,197852.7112618625,131653.47646655745,264488.17070155434,City of London
2000-02-01,198366.60936772765,136724.7877628826,263895.88527447986,City of London
2000-03-01,183934.0302793734,118630.2478433675,248723.92324817885,City of London
2000-04-01,196530.41035610257,131527.6434698786,261250.95696499193,City of London
2000-05-01,208038.48611026787,139990.1352243021,270149.9781719627,City of London
2000-06-01,210909.92427004632,143122.19526457784,275469.86452422285,City of London
2000-07-01,216046.78133224876,154218.05438946612,279411.7515737321,City of London
2000-08-01,218171.73970232334,153855.10875657393,284118.3954499512,City of London
2000-09-01,205284.8475797766,138974.86650189385,270544.50734934513,City of London
2000-10-01,202318.24677543613,139343.34146898912,267322.9289651902,City of London
2000-11-01,217415.8620979386,153728.9262949694,281772.8141396228,City of London
2000-12-01,229709.84068035297,161701.12588595855,296940.8509413842,City of London
2001-01-01,226818.39195400127,161103.14285603113,296139.4905159553,City of London
2001-02-01,211216.1092104346,146738.86774168245,280552.48076183815,City of London
2001-03-01,213803.29785498627,149910.84022281555,279927.6788688177,City of London
2001-04-01,219360.84676786736,154392.8087841031,281640.7055834264,City of London
2001-05-01,228490.79146525683,161784.25485110865,293911.2010310786,City of London
2001-06-01,234966.24386879604,173495.29727021477,299666.7753074773,City of London
2001-07-01,240486.8573090599,175883.64770403889,309717.35806052136,City of London
2001-08-01,242767.40843685632,181946.3378278919,312007.2805633059,City of London
2001-09-01,233546.13689072584,165264.20489970344,297816.74720115686,City of London
2001-10-01,231404.0192342624,168695.89919840425,293974.26509282284,City of London
2001-11-01,239423.06512244107,174573.077751329,301657.5727452455,City of London
2001-12-01,248002.65461399427,183116.62819246386,312525.1538323023,City of London
2002-01-01,249987.486508704,184503.56286552062,313296.85709296685,City of London
2002-02-01,239812.08300900293,176822.90164996375,303805.46518581745,City of London
2002-03-01,243562.4728171146,175808.68065526555,304330.9495104902,City of London
2002-04-01,242025.59327915305,178908.86530850487,305041.97454571154,City of London
2002-05-01,248932.31847767832,180964.50638986632,314533.9497627841,City of London
2002-06-01,259087.46314212773,196441.75990254292,324651.0384641542,City of London
2002-07-01,264986.25318869686,195762.90427525953,330427.4127817215,City of London
2002-08-01,267448.1504501131,203291.58438559258,328375.49770420167,City of London
2002-09-01,261857.35210981587,193511.22473024862,321146.9943339846,City of London
2002-10-01,260358.39223542222,193290.0848762291,324833.53834969475,City of London
2002-11-01,261251.79151498005,197213.9811665254,320724.2654744951,City of London
2002-12-01,266326.9382956207,202459.1380203539,331958.3482511337,City of London
2003-01-01,273344.9933925248,204163.46915299838,335793.42128883273,City of London
2003-02-01,268544.3269064251,204847.6917616183,336365.9391809092,City of London
2003-03-01,273204.9016525081,202609.68037529252,332508.79124647396,City of London
